序号,NEW_TYPE,大类,中类,小类,Big Category,Mid  Category,Sub Category
300,060300,购物服务,家电电子卖场,家电电子卖场,Shopping,Home Electronics Hypermarket,Home Electronics Hypermarket
301,060301,购物服务,家电电子卖场,综合家电商场,Shopping,Home Electronics Hypermarket,Comprehensive Home Electronics Shopping Center
302,060302,购物服务,家电电子卖场,国美,Shopping,Home Electronics Hypermarket,GOME
303,060303,购物服务,家电电子卖场,大中,Shopping,Home Electronics Hypermarket,Dazhong
304,060304,购物服务,家电电子卖场,苏宁,Shopping,Home Electronics Hypermarket,Suning
305,060305,购物服务,家电电子卖场,手机销售,Shopping,Home Electronics Hypermarket,Mobile Handsets Sales
306,060306,购物服务,家电电子卖场,数码电子,Shopping,Home Electronics Hypermarket,Digital Electronics
307,060307,购物服务,家电电子卖场,丰泽,Shopping,Home Electronics Hypermarket,Fortress
308,060308,购物服务,家电电子卖场,苏宁镭射,Shopping,Home Electronics Hypermarket,Suning Citicall
309,060400,购物服务,超级市场,超市,Shopping,Supermarket,Supermarket
310,060401,购物服务,超级市场,家乐福,Shopping,Supermarket,Carrefour
311,060402,购物服务,超级市场,沃尔玛,Shopping,Supermarket,Wal-Mart
312,060403,购物服务,超级市场,华润,Shopping,Supermarket,CRC
313,060404,购物服务,超级市场,北京华联,Shopping,Supermarket,Beijing Hualian
314,060405,购物服务,超级市场,上海华联,Shopping,Supermarket,Shanghai Hualian
315,060406,购物服务,超级市场,麦德龙,Shopping,Supermarket,METRO
316,060407,购物服务,超级市场,乐天玛特,Shopping,Supermarket,LOTTE Mart
317,060408,购物服务,超级市场,华堂,Shopping,Supermarket,Ito Yokado
318,060409,购物服务,超级市场,卜蜂莲花,Shopping,Supermarket,Lotus
319,060411,购物服务,超级市场,屈臣氏,Shopping,Supermarket,Watsons
320,060413,购物服务,超级市场,惠康超市,Shopping,Supermarket,Wellcome
321,060414,购物服务,超级市场,百佳超市,Shopping,Supermarket,PARKnSHOP
322,060415,购物服务,超级市场,万宁超市,Shopping,Supermarket,Mannings
323,060500,购物服务,花鸟鱼虫市场,花鸟鱼虫市场,Shopping,Plants & Pet Market,Plants & Pet Market
324,060501,购物服务,花鸟鱼虫市场,花卉市场,Shopping,Plants & Pet Market,Flower Shop
325,060502,购物服务,花鸟鱼虫市场,宠物市场,Shopping,Plants & Pet Market,Pet Market
326,060600,购物服务,家居建材市场,家居建材市场,Shopping,Home Building Materials Market,Home Building Materials Market
327,060601,购物服务,家居建材市场,家具建材综合市场,Shopping,Home Building Materials Market,Home Building Materials Market
328,060602,购物服务,家居建材市场,家具城,Shopping,Home Building Materials Market,Furniture Store
329,060603,购物服务,家居建材市场,建材五金市场,Shopping,Home Building Materials Market,Hardware Store
330,060604,购物服务,家居建材市场,厨卫市场,Shopping,Home Building Materials Market,Kitchen Supply
331,060605,购物服务,家居建材市场,布艺市场,Shopping,Home Building Materials Market,Deco Cloth Store
332,060606,购物服务,家居建材市场,灯具瓷器市场,Shopping,Home Building Materials Market,Lighting & Porcelain Market
333,060700,购物服务,综合市场,综合市场,Shopping,Comprehensive Market,Comprehensive Market
334,060701,购物服务,综合市场,小商品市场,Shopping,Comprehensive Market,Small Commodity Market
335,060702,购物服务,综合市场,旧货市场,Shopping,Comprehensive Market,Flea Market
336,060703,购物服务,综合市场,农副产品市场,Shopping,Comprehensive Market,Agricultural Products Market
337,060704,购物服务,综合市场,果品市场,Shopping,Comprehensive Market,Fruits Market
338,060705,购物服务,综合市场,蔬菜市场,Shopping,Comprehensive Market,Vegetable Market
339,060706,购物服务,综合市场,水产海鲜市场,Shopping,Comprehensive Market,Seafood Market
340,060800,购物服务,文化用品店,文化用品店,Shopping,Stationary Store,Stationary Store
341,060900,购物服务,体育用品店,体育用品店,Shopping,Sports Store,Sports Store
342,060901,购物服务,体育用品店,李宁专卖店,Shopping,Sports Store,Li-Ning
343,060902,购物服务,体育用品店,耐克专卖店,Shopping,Sports Store,NIKE
344,060903,购物服务,体育用品店,阿迪达斯专卖店,Shopping,Sports Store,adidas
345,060904,购物服务,体育用品店,锐步专卖店,Shopping,Sports Store,Reebok
346,060905,购物服务,体育用品店,彪马专卖店,Shopping,Sports Store,PUMA
347,060906,购物服务,体育用品店,高尔夫用品店,Shopping,Sports Store,Golf Accessories Shop
348,060907,购物服务,体育用品店,户外用品,Shopping,Sports Store,Outdoor Sports Shop
349,061000,购物服务,特色商业街,特色商业街,Shopping,Commercial Street,Commercial Street
350,061001,购物服务,特色商业街,步行街,Shopping,Commercial Street,Pedestrian Street
351,061100,购物服务,服装鞋帽皮具店,服装鞋帽皮具店,Shopping,Clothing Store,Clothing Store
352,061101,购物服务,服装鞋帽皮具店,品牌服装店,Shopping,Clothing Store,Brand Clothing Store
353,061102,购物服务,服装鞋帽皮具店,品牌鞋店,Shopping,Clothing Store,Brand Shoes Store
354,061103,购物服务,服装鞋帽皮具店,品牌皮具店,Shopping,Clothing Store,Brand Leather Ware Store
355,061104,购物服务,服装鞋帽皮具店,品牌箱包店,Shopping,Clothing Store,Brand Bags and Suitcases Store
356,061200,购物服务,专卖店,专营店,Shopping,Franchise Store,Franchise Store
357,061201,购物服务,专卖店,古玩字画店,Shopping,Franchise Store,Antique Shop
358,061202,购物服务,专卖店,珠宝首饰工艺品,Shopping,Franchise Store,Jewelry Store
359,061203,购物服务,专卖店,钟表店,Shopping,Franchise Store,Watches Shop
360,061204,购物服务,专卖店,眼镜店,Shopping,Franchise Store,Optical Shop
361,061205,购物服务,专卖店,书店,Shopping,Franchise Store,Bookstore
362,061206,购物服务,专卖店,音像店,Shopping,Franchise Store,CD/DVD Shop
363,061207,购物服务,专卖店,儿童用品店,Shopping,Franchise Store,Children's Store
364,061208,购物服务,专卖店,自行车专卖店,Shopping,Franchise Store,Bike Shop
365,061209,购物服务,专卖店,礼品饰品店,Shopping,Franchise Store,Gift Store
366,061210,购物服务,专卖店,烟酒专卖店,Shopping,Franchise Store,Tobacco & Wine Franchise Store
367,061211,购物服务,专卖店,宠物用品店,Shopping,Franchise Store,Pet's Store
368,061212,购物服务,专卖店,摄影器材店,Shopping,Franchise Store,Camera Shop
369,061213,购物服务,专卖店,宝马生活方式,Shopping,Franchise Store,BMW Lifestyle
370,061214,购物服务,专卖店,土特产专卖店,Shopping,Franchise Store,Local Products Franchise Store
371,061300,购物服务,特殊买卖场所,特殊买卖场所,Shopping,Special Trade House,Special Trade House
372,061301,购物服务,特殊买卖场所,拍卖行,Shopping,Special Trade House,Auction House
373,061302,购物服务,特殊买卖场所,典当行,Shopping,Special Trade House,Pawn House
374,061400,购物服务,个人用品/化妆品店,其它个人用品店,Shopping,Personal Care Items Shop,Personal Care Items Shop
375,061401,购物服务,个人用品/化妆品店,莎莎,Shopping,Personal Care Items Shop,Sasa
376,070000,生活服务,生活服务场所,生活服务场所,Daily Life Service,Daily Life Service Place,Daily Life Service Place
377,070100,生活服务,旅行社,旅行社,Daily Life Service,Travel Agency,Travel Agency
378,070200,生活服务,信息咨询中心,信息咨询中心,Daily Life Service,Information Centre,Information Centre
379,070201,生活服务,信息咨询中心,服务中心,Daily Life Service,Information Centre,Service Centre
380,070202,生活服务,信息咨询中心,旅馆问讯,Daily Life Service,Information Centre,Enquire of Hotel
381,070203,生活服务,信息咨询中心,行李查询/行李问询,Daily Life Service,Information Centre,Enquire of Baggage
382,070300,生活服务,售票处,售票处,Daily Life Service,Ticket Office,Ticket Office
383,070301,生活服务,售票处,飞机票代售点,Daily Life Service,Ticket Office,Airline Tickets Office
384,070302,生活服务,售票处,火车票代售点,Daily Life Service,Ticket Office,Train Ticket Office
385,070303,生活服务,售票处,长途汽车票代售点,Daily Life Service,Ticket Office,Coach Ticket Office
386,070304,生活服务,售票处,船票代售点,Daily Life Service,Ticket Office,Ferry Ticket Office
387,070305,生活服务,售票处,公交卡/月票代售点,Daily Life Service,Ticket Office,Bus IC Card
388,070306,生活服务,售票处,公园景点售票处,Daily Life Service,Ticket Office,Park Box Office
389,070400,生活服务,邮局,邮局,Daily Life Service,Post Office,Post Office
390,070401,生活服务,邮局,邮政速递,Daily Life Service,Post Office,Express Post
391,070500,生活服务,物流速递,物流速递,Daily Life Service,Logistics Service,Logistics Service
392,070501,生活服务,物流速递,物流仓储场地,Daily Life Service,Logistics Service,Logistics Warehouse Space
393,070600,生活服务,电讯营业厅,电讯营业厅,Daily Life Service,Telecom Office,Telecom Office
394,070601,生活服务,电讯营业厅,中国电信营业厅,Daily Life Service,Telecom Office,China Telecom Office
395,070603,生活服务,电讯营业厅,中国移动营业厅,Daily Life Service,Telecom Office,China Mobile Office
396,070604,生活服务,电讯营业厅,中国联通营业厅,Daily Life Service,Telecom Office,China Unicom Office
397,070605,生活服务,电讯营业厅,中国铁通营业厅,Daily Life Service,Telecom Office,China Tietong Office
398,070606,生活服务,电讯营业厅,中国卫通营业厅,Daily Life Service,Telecom Office,China Satcom Office
399,070607,生活服务,电讯营业厅,和记电讯,Daily Life Service,Telecom Office,Hutchison Telecommunications
400,070608,生活服务,电讯营业厅,数码通电讯,Daily Life Service,Telecom Office,SmarTone
401,070609,生活服务,电讯营业厅,电讯盈科,Daily Life Service,Telecom Office,PCCW
402,070610,生活服务,电讯营业厅,中国移动香港,Daily Life Service,Telecom Office,China Mobile Hong Kong
403,070700,生活服务,事务所,事务所,Daily Life Service,Professional Service Firm,Professional Service Firm
404,070701,生活服务,事务所,律师事务所,Daily Life Service,Professional Service Firm,Law Firm
405,070702,生活服务,事务所,会计师事务所,Daily Life Service,Professional Service Firm,Accounting Firm
406,070703,生活服务,事务所,评估事务所,Daily Life Service,Professional Service Firm,Evaluation Firm
407,070704,生活服务,事务所,审计事务所,Daily Life Service,Professional Service Firm,Audit Firm
408,070705,生活服务,事务所,认证事务所,Daily Life Service,Professional Service Firm,Authentication Services
409,070706,生活服务,事务所,专利事务所,Daily Life Service,Professional Service Firm,Patent Office
410,070800,生活服务,人才市场,人才市场,Daily Life Service,Job Center,Job Center
411,070900,生活服务,自来水营业厅,自来水营业厅,Daily Life Service,Water Supply Service Office,Water Supply Service Office
412,071000,生活服务,电力营业厅,电力营业厅,Daily Life Service,Electric Supply Service Office,Electric Supply Service Office
413,071100,生活服务,美容美发店,美容美发店,Daily Life Service,Beauty and Hairdressing Store,Beauty and Hairdressing Store
414,071200,生活服务,维修站点,维修站点,Daily Life Service,Repair Store,Repair Store
415,071300,生活服务,摄影冲印店,摄影冲印,Daily Life Service,Photo Finishing,Photo Finishing
416,071400,生活服务,洗浴推拿场所,洗浴推拿场所,Daily Life Service,Bath & Massage Center,Bath & Massage Center
417,071500,生活服务,洗衣店,洗衣店,Daily Life Service,Laundry,Laundry
418,071600,生活服务,中介机构,中介机构,Daily Life Service,Agency,Agency
419,071700,生活服务,搬家公司,搬家公司,Daily Life Service,Move Service,Move Service
420,071800,生活服务,彩票彩券销售点,彩票彩券销售点,Daily Life Service,Lottery Store,Lottery Store
421,071801,生活服务,彩票彩券销售点,马会投注站,Daily Life Service,Lottery Store,Horse-Betting Center
422,071900,生活服务,丧葬设施,丧葬设施,Daily Life Service,Funeral Facilities,Funeral Facilities
423,071901,生活服务,丧葬设施,陵园,Daily Life Service,Funeral Facilities,Cemetery
424,071902,生活服务,丧葬设施,公墓,Daily Life Service,Funeral Facilities,Cemetery
425,071903,生活服务,丧葬设施,殡仪馆,Daily Life Service,Funeral Facilities,Funeral House
426,072000,生活服务,婴儿服务场所,婴儿服务场所,Daily Life Service,Baby Service Place,Baby Service Place
427,072001,生活服务,婴儿服务场所,婴儿游泳馆,Daily Life Service,Baby Service Place,Baby Natatorium
428,072101,生活服务,共享设备,充电宝,Daily Life Service,Shared Device,Power Bank
429,073000,生活服务,电动自动车充电站,电动自行车充电站,Daily Life Service,Electric Bicycle Charging Station,Electric Bicycle Charging Station
430,073001,生活服务,电动自动车充电站,电动自行车换电站,Daily Life Service,Electric Bicycle Power Swapping Station,Electric Bicycle Power Swapping Station
431,073002,生活服务,电动自动车充电站,电动自行车专用充电站,Daily Life Service,Electric Bicycle Dedicated Charging Station,Electric Bicycle Dedicated Charging Station
432,080000,体育休闲服务,体育休闲服务场所,体育休闲服务场所,Sports & Recreation,Sports & Recreation Places,Sports & Recreation Places
433,080100,体育休闲服务,运动场馆,运动场所,Sports & Recreation,Sports Stadium,Sports Places
434,080101,体育休闲服务,运动场馆,综合体育馆,Sports & Recreation,Sports Stadium,Sports Centre
435,080102,体育休闲服务,运动场馆,保龄球馆,Sports & Recreation,Sports Stadium,Bowling Hall
436,080103,体育休闲服务,运动场馆,网球场,Sports & Recreation,Sports Stadium,Tennis Court
437,080104,体育休闲服务,运动场馆,篮球场馆,Sports & Recreation,Sports Stadium,Basketball Stadium
438,080105,体育休闲服务,运动场馆,足球场,Sports & Recreation,Sports Stadium,Football Field
439,080106,体育休闲服务,运动场馆,滑雪场,Sports & Recreation,Sports Stadium,Ski Field
440,080107,体育休闲服务,运动场馆,溜冰场,Sports & Recreation,Sports Stadium,Skating Rink
441,080108,体育休闲服务,运动场馆,户外健身场所,Sports & Recreation,Sports Stadium,Outdoor Gym Facility
442,080109,体育休闲服务,运动场馆,海滨浴场,Sports & Recreation,Sports Stadium,Public Beach
443,080110,体育休闲服务,运动场馆,游泳馆,Sports & Recreation,Sports Stadium,Natatorium
444,080111,体育休闲服务,运动场馆,健身中心,Sports & Recreation,Sports Stadium,Gym Center
445,080112,体育休闲服务,运动场馆,乒乓球馆,Sports & Recreation,Sports Stadium,Table Tennis Hall
446,080113,体育休闲服务,运动场馆,台球厅,Sports & Recreation,Sports Stadium,Pool Room
447,080114,体育休闲服务,运动场馆,壁球场,Sports & Recreation,Sports Stadium,Squash Court
448,080115,体育休闲服务,运动场馆,马术俱乐部,Sports & Recreation,Sports Stadium,Horse Riding Club
449,080116,体育休闲服务,运动场馆,赛马场,Sports & Recreation,Sports Stadium,Race Track
450,080117,体育休闲服务,运动场馆,橄榄球场,Sports & Recreation,Sports Stadium,Rugby Court
451,080118,体育休闲服务,运动场馆,羽毛球场,Sports & Recreation,Sports Stadium,Badminton Court
452,080119,体育休闲服务,运动场馆,跆拳道场馆,Sports & Recreation,Sports Stadium,Taekwondo Venue
453,080200,体育休闲服务,高尔夫相关,高尔夫相关,Sports & Recreation,Golf Related,Golf Related
454,080201,体育休闲服务,高尔夫相关,高尔夫球场,Sports & Recreation,Golf Related,Golf Course
455,080202,体育休闲服务,高尔夫相关,高尔夫练习场,Sports & Recreation,Golf Related,Golf Training Course
456,080300,体育休闲服务,娱乐场所,娱乐场所,Sports & Recreation,Recreation Center,Recreation Center
457,080301,体育休闲服务,娱乐场所,夜总会,Sports & Recreation,Recreation Center,Night Club
458,080302,体育休闲服务,娱乐场所,KTV,Sports & Recreation,Recreation Center,KTV
459,080303,体育休闲服务,娱乐场所,迪厅,Sports & Recreation,Recreation Center,Disco
460,080304,体育休闲服务,娱乐场所,酒吧,Sports & Recreation,Recreation Center,Pub
461,080305,体育休闲服务,娱乐场所,游戏厅,Sports & Recreation,Recreation Center,Game Center
462,080306,体育休闲服务,娱乐场所,棋牌室,Sports & Recreation,Recreation Center,Card & Chess Room
463,080307,体育休闲服务,娱乐场所,博彩中心,Sports & Recreation,Recreation Center,Lottery Center
464,080308,体育休闲服务,娱乐场所,网吧,Sports & Recreation,Recreation Center,Internet Bar
465,080400,体育休闲服务,度假疗养场所,度假疗养场所,Sports & Recreation,Holiday & Nursing Resort,Holiday & Nursing Resort
466,080401,体育休闲服务,度假疗养场所,度假村,Sports & Recreation,Holiday & Nursing Resort,Resort
467,080402,体育休闲服务,度假疗养场所,疗养院,Sports & Recreation,Holiday & Nursing Resort,Nursing Home
468,080500,体育休闲服务,休闲场所,休闲场所,Sports & Recreation,Recreation Place,Recreation Place
469,080501,体育休闲服务,休闲场所,游乐场,Sports & Recreation,Recreation Place,Amusement Park
470,080502,体育休闲服务,休闲场所,垂钓园,Sports & Recreation,Recreation Place,Fishing Spot
471,080503,体育休闲服务,休闲场所,采摘园,Sports & Recreation,Recreation Place,Plucking Park
472,080504,体育休闲服务,休闲场所,露营地,Sports & Recreation,Recreation Place,Camping Site
473,080505,体育休闲服务,休闲场所,水上活动中心,Sports & Recreation,Recreation Place,Water Sports Centre
474,080600,体育休闲服务,影剧院,影剧院相关,Sports & Recreation,Theatre & Cinema,Theatre & Cinema Related
475,080601,体育休闲服务,影剧院,电影院,Sports & Recreation,Theatre & Cinema,Cinema
476,080602,体育休闲服务,影剧院,音乐厅,Sports & Recreation,Theatre & Cinema,Concert Hall
477,080603,体育休闲服务,影剧院,剧场,Sports & Recreation,Theatre & Cinema,Theatre
478,090000,医疗保健服务,医疗保健服务场所,医疗保健服务场所,Medical Service,Medical and Health Care Service Place,Medical and Health Care Service Place
479,090100,医疗保健服务,综合医院,综合医院,Medical Service,Hospital,Hospital
480,090101,医疗保健服务,综合医院,三级甲等医院,Medical Service,Hospital,AAA Class Hospital
481,090102,医疗保健服务,综合医院,卫生院,Medical Service,Hospital,Health Center
482,090200,医疗保健服务,专科医院,专科医院,Medical Service,Special Hospital,Special Hospital
483,090201,医疗保健服务,专科医院,整形美容,Medical Service,Special Hospital,Plastic Surgery
484,090202,医疗保健服务,专科医院,口腔医院,Medical Service,Special Hospital,Stomatological Hospital
485,090203,医疗保健服务,专科医院,眼科医院,Medical Service,Special Hospital,Ophthalmology Hospital
486,090204,医疗保健服务,专科医院,耳鼻喉医院,Medical Service,Special Hospital,ENT Hospital
487,090205,医疗保健服务,专科医院,胸科医院,Medical Service,Special Hospital,Chest Hospital
488,090206,医疗保健服务,专科医院,骨科医院,Medical Service,Special Hospital,Orthopedic Hospital
489,090207,医疗保健服务,专科医院,肿瘤医院,Medical Service,Special Hospital,Tumor Hospital
490,090208,医疗保健服务,专科医院,脑科医院,Medical Service,Special Hospital,Brain Hospital
491,090209,医疗保健服务,专科医院,妇科医院,Medical Service,Special Hospital,Maternity Hospital
492,090210,医疗保健服务,专科医院,精神病医院,Medical Service,Special Hospital,Psychiatric Hospital
493,090211,医疗保健服务,专科医院,传染病医院,Medical Service,Special Hospital,Infectious Disease Hospital
494,090300,医疗保健服务,诊所,诊所,Medical Service,Clinic,Clinic
495,090400,医疗保健服务,急救中心,急救中心,Medical Service,Emergency Center,Emergency Center
496,090500,医疗保健服务,疾病预防机构,疾病预防,Medical Service,Disease Prevention Institution,Disease Prevention
497,090600,医疗保健服务,医药保健销售店,医药保健相关,Medical Service,Pharmacy,Medicine Health Care Related
498,090601,医疗保健服务,医药保健销售店,药房,Medical Service,Pharmacy,Pharmacy
499,090602,医疗保健服务,医药保健销售店,医疗保健用品,Medical Service,Pharmacy,Medical Supplies
500,090700,医疗保健服务,动物医疗场所,动物医疗场所,Medical Service,Veterinary Hospital,Veterinary Hospital
501,090701,医疗保健服务,动物医疗场所,宠物诊所,Medical Service,Veterinary Hospital,Pet Clinic
502,090702,医疗保健服务,动物医疗场所,兽医站,Medical Service,Veterinary Hospital,Veterinary Station
503,090800,医疗保健服务,核酸检测,核酸检测,Medical Service,COVID-19 Test,COVID-19 Test
504,100000,住宿服务,住宿服务相关,住宿服务相关,Accommodation Service,Accommodation Service Related,Accommodation Service Related
505,100100,住宿服务,宾馆酒店,宾馆酒店,Accommodation Service,Hotel,Hotel
506,100101,住宿服务,宾馆酒店,奢华酒店,Accommodation Service,Hotel,Luxury Hotel
507,100102,住宿服务,宾馆酒店,五星级宾馆,Accommodation Service,Hotel,Five-star Hotel
508,100103,住宿服务,宾馆酒店,四星级宾馆,Accommodation Service,Hotel,Four-star Hotel
509,100104,住宿服务,宾馆酒店,三星级宾馆,Accommodation Service,Hotel,Three-star Hotel
510,100105,住宿服务,宾馆酒店,经济型连锁酒店,Accommodation Service,Hotel,Economical Chain Hotel
511,100200,住宿服务,旅馆招待所,旅馆招待所,Accommodation Service,Hostel,Hostel
512,100201,住宿服务,旅馆招待所,青年旅舍,Accommodation Service,Hostel,Youth Hostel
513,110000,风景名胜,风景名胜相关,旅游景点,Tourist Attraction,Tourist Attraction Related,Tourist Attraction
514,110100,风景名胜,公园广场,公园广场,Tourist Attraction,Park & Square,Park & Square
515,110101,风景名胜,公园广场,公园,Tourist Attraction,Park & Square,Park
516,110102,风景名胜,公园广场,动物园,Tourist Attraction,Park & Square,Zoo
517,110103,风景名胜,公园广场,植物园,Tourist Attraction,Park & Square,Botanical Garden
518,110104,风景名胜,公园广场,水族馆,Tourist Attraction,Park & Square,Aquarium
519,110105,风景名胜,公园广场,城市广场,Tourist Attraction,Park & Square,City Plaza
520,110106,风景名胜,公园广场,公园内部设施,Tourist Attraction,Park & Plaza,Facilities within the park
521,110200,风景名胜,风景名胜,风景名胜,Tourist Attraction,Scenery Spot,Scenery Spot
522,110201,风景名胜,风景名胜,世界遗产,Tourist Attraction,Scenery Spot,World Heritage
523,110202,风景名胜,风景名胜,国家级景点,Tourist Attraction,Scenery Spot,National View Spot
524,110203,风景名胜,风景名胜,省级景点,Tourist Attraction,Scenery Spot,Provincial View Spot
525,110204,风景名胜,风景名胜,纪念馆,Tourist Attraction,Scenery Spot,Memorial Hall
526,110205,风景名胜,风景名胜,寺庙道观,Tourist Attraction,Scenery Spot,Buddhist & Taoist Temple
527,110206,风景名胜,风景名胜,教堂,Tourist Attraction,Scenery Spot,Church
528,110207,风景名胜,风景名胜,回教寺,Tourist Attraction,Scenery Spot,Mosque
529,110208,风景名胜,风景名胜,海滩,Tourist Attraction,Scenery Spot,Beach
530,110209,风景名胜,风景名胜,观景点,Tourist Attraction,Scenery Spot,View Point
531,110210,风景名胜,风景名胜,红色景区,Tourist Attraction,Scenery Spot,Red scenic spot
532,120000,商务住宅,商务住宅相关,商务住宅相关,Commercial House,Commercial House Related,Commercial House Related
533,120100,商务住宅,产业园区,产业园区,Commercial House,Industrial Park,Industrial Park
534,120200,商务住宅,楼宇,楼宇相关,Commercial House,Building,Building Related
535,120201,商务住宅,楼宇,商务写字楼,Commercial House,Building,Business Office Building
536,120202,商务住宅,楼宇,工业大厦建筑物,Commercial House,Building,Industrial Building
537,120203,商务住宅,楼宇,商住两用楼宇,Commercial House,Building,Commercial-residential Building
538,120300,商务住宅,住宅区,住宅区,Commercial House,Residential Area,Residential Area
539,120301,商务住宅,住宅区,别墅,Commercial House,Residential Area,Villa
540,120302,商务住宅,住宅区,住宅小区,Commercial House,Residential Area,Residential Quarter
541,120303,商务住宅,住宅区,宿舍,Commercial House,Residential Area,Dormitory
542,120304,商务住宅,住宅区,社区中心,Commercial House,Residential Area,Community Center
543,130000,政府机构及社会团体,政府及社会团体相关,政府及社会团体相关,Governmental Organization & Social Group,Governmental & Social Groups Related,Governmental & Social Groups Related
544,130100,政府机构及社会团体,政府机关,政府机关相关,Governmental Organization & Social Group,Governmental Organization,Governmental Organization Related
545,130101,政府机构及社会团体,政府机关,国家级机关及事业单位,Governmental Organization & Social Group,Governmental Organization,State Level Organization & Institution
546,130102,政府机构及社会团体,政府机关,省直辖市级政府及事业单位,Governmental Organization & Social Group,Governmental Organization,Provincial Level Government and Institution
547,130103,政府机构及社会团体,政府机关,地市级政府及事业单位,Governmental Organization & Social Group,Governmental Organization,Prefecture Level Government and Institution
548,130104,政府机构及社会团体,政府机关,区县级政府及事业单位,Governmental Organization & Social Group,Governmental Organization,District & County Level Government and Institution
549,130105,政府机构及社会团体,政府机关,乡镇级政府及事业单位,Governmental Organization & Social Group,Governmental Organization,Town Level Government and Institution
550,130106,政府机构及社会团体,政府机关,乡镇以下级政府及事业单位,Governmental Organization & Social Group,Governmental Organization,Below Town level Government and Institution
551,130107,政府机构及社会团体,政府机关,外地政府办,Governmental Organization & Social Group,Governmental Organization,Non-local Government Representative Office
552,130200,政府机构及社会团体,外国机构,外国机构相关,Governmental Organization & Social Group,Foreign Organization,Foreign Organization Related
553,130201,政府机构及社会团体,外国机构,外国使领馆,Governmental Organization & Social Group,Foreign Organization,Foreign Embassy and Consulate
554,130202,政府机构及社会团体,外国机构,国际组织办事处,Governmental Organization & Social Group,Foreign Organization,Representative Office of International Organization
555,130300,政府机构及社会团体,民主党派,民主党派,Governmental Organization & Social Group,Democratic Party,Democratic Party
556,130400,政府机构及社会团体,社会团体,社会团体相关,Governmental Organization & Social Group,Social Group,Social Group Related
557,130401,政府机构及社会团体,社会团体,共青团,Governmental Organization & Social Group,Social Group,Communist Youth League
558,130402,政府机构及社会团体,社会团体,少先队,Governmental Organization & Social Group,Social Group,Young Pioneer
559,130403,政府机构及社会团体,社会团体,妇联,Governmental Organization & Social Group,Social Group,Women's Federation
560,130404,政府机构及社会团体,社会团体,残联,Governmental Organization & Social Group,Social Group,Disabled Persons' Federation
561,130405,政府机构及社会团体,社会团体,红十字会,Governmental Organization & Social Group,Social Group,Red Cross
562,130406,政府机构及社会团体,社会团体,消费者协会,Governmental Organization & Social Group,Social Group,Consumers' Association
563,130407,政府机构及社会团体,社会团体,行业协会,Governmental Organization & Social Group,Social Group,Industry Association
564,130408,政府机构及社会团体,社会团体,慈善机构,Governmental Organization & Social Group,Social Group,Charity Organizations
565,130409,政府机构及社会团体,社会团体,教会,Governmental Organization & Social Group,Social Group,Church
566,130500,政府机构及社会团体,公检法机构,公检法机关,Governmental Organization & Social Group,Public Security Organization,Public Security Organization
567,130501,政府机构及社会团体,公检法机构,公安警察,Governmental Organization & Social Group,Public Security Organization,Police Station
568,130502,政府机构及社会团体,公检法机构,检察院,Governmental Organization & Social Group,Public Security Organization,Procuratorate
569,130503,政府机构及社会团体,公检法机构,法院,Governmental Organization & Social Group,Public Security Organization,Court
570,130504,政府机构及社会团体,公检法机构,消防机关,Governmental Organization & Social Group,Public Security Organization,Fire Fighting Organization
571,130505,政府机构及社会团体,公检法机构,公证鉴定机构,Governmental Organization & Social Group,Public Security Organization,Notarial Survey Organization
572,130506,政府机构及社会团体,公检法机构,社会治安机构,Governmental Organization & Social Group,Public Security Organization,Social Security Organization
573,130600,政府机构及社会团体,交通车辆管理,交通车辆管理相关,Governmental Organization & Social Group,Traffic Vehicle Management,Traffic Vehicle Management Related
574,130601,政府机构及社会团体,交通车辆管理,交通管理机构,Governmental Organization & Social Group,Traffic Vehicle Management,Traffic Management Authority
575,130602,政府机构及社会团体,交通车辆管理,车辆管理机构,Governmental Organization & Social Group,Traffic Vehicle Management,Vehicle Management Authority
576,130603,政府机构及社会团体,交通车辆管理,验车场,Governmental Organization & Social Group,Traffic Vehicle Management,Vehicle Assessment Service
577,130604,政府机构及社会团体,交通车辆管理,交通执法站,Governmental Organization & Social Group,Traffic Vehicle Management,Traffic Management Station
578,130605,政府机构及社会团体,交通车辆管理,车辆通行证办理处,Governmental Organization & Social Group,Traffic Vehicle Management,Vehicle Pass Card Office
579,130606,政府机构及社会团体,交通车辆管理,货车相关检查站,Governmental Organization & Social Group,Traffic Vehicle Management,Truck Related Checkpoints
580,130700,政府机构及社会团体,工商税务机构,工商税务机构,Governmental Organization & Social Group,Industrial and Commercial Taxation Institution,Industrial and Commercial Taxation Institution
581,130701,政府机构及社会团体,工商税务机构,工商部门,Governmental Organization & Social Group,Industrial and Commercial Taxation Institution,Administration for Industry & Commerce
582,130702,政府机构及社会团体,工商税务机构,国税机关,Governmental Organization & Social Group,Industrial and Commercial Taxation Institution,State Tax Authority
583,130703,政府机构及社会团体,工商税务机构,地税机关,Governmental Organization & Social Group,Industrial and Commercial Taxation Institution,Local Tax Authority
584,140000,科教文化服务,科教文化场所,科教文化场所,Science/Culture & Education Service,Science & Education Cultural Place,Science & Education Cultural Place
585,140100,科教文化服务,博物馆,博物馆,Science/Culture & Education Service,Museum,Museum
586,140101,科教文化服务,博物馆,奥迪博物馆,Science/Culture & Education Service,Museum,Audi Museum
